epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,750.489,1.00269,1.33689,1.35411,0.93412,0.37348,0.45184,0.31908,1.7003,2.28956,1.51986,2.40837e-05,2.40837e-05,2.40837e-05
30,774.954,1.44717,2.4391,1.78191,0.93412,0.37348,0.45184,0.31908,1.7003,2.28956,1.51986,2.46022e-05,2.46022e-05,2.46022e-05
31,799.044,0.7893,1.9144,1.28754,0.93262,0.37336,0.45406,0.3047,1.72654,2.32375,1.5392,2.50971e-05,2.50971e-05,2.50971e-05
32,822.722,0.80724,1.0389,1.13146,0.93262,0.37336,0.45406,0.3047,1.72654,2.32375,1.5392,2.55685e-05,2.55685e-05,2.55685e-05
33,847.061,1.06749,3.16427,1.41375,0.93527,0.37327,0.44098,0.32052,1.75552,2.36443,1.54377,2.60163e-05,2.60163e-05,2.60163e-05
34,870.728,0.86309,1.03216,1.2879,0.93527,0.37327,0.44098,0.32052,1.75552,2.36443,1.54377,2.64405e-05,2.64405e-05,2.64405e-05
35,894.933,0.75263,1.59964,1.1939,0.92646,0.37293,0.44136,0.32059,1.76007,2.3893,1.55109,2.68412e-05,2.68412e-05,2.68412e-05
36,917.8,0.8953,1.49148,1.19793,0.92646,0.37293,0.44136,0.32059,1.76007,2.3893,1.55109,2.72183e-05,2.72183e-05,2.72183e-05
37,941.204,0.73702,1.29664,1.26765,0.92545,0.37295,0.41335,0.27858,1.75639,2.43093,1.54523,2.75718e-05,2.75718e-05,2.75718e-05
38,965.377,0.74524,0.9428,1.0942,0.92545,0.37295,0.41335,0.27858,1.75639,2.43093,1.54523,2.79018e-05,2.79018e-05,2.79018e-05
39,988.878,0.83764,1.74937,1.19295,0.74186,0.38284,0.41529,0.279,1.76472,2.45218,1.54458,2.82082e-05,2.82082e-05,2.82082e-05
40,1012.25,0.75737,0.97863,1.10823,0.74186,0.38284,0.41529,0.279,1.76472,2.45218,1.54458,2.84911e-05,2.84911e-05,2.84911e-05
41,1036.17,1.38516,2.16721,1.70618,0.94586,0.38908,0.41946,0.28113,1.7592,2.40266,1.53663,2.87504e-05,2.87504e-05,2.87504e-05
42,1059.87,0.80644,1.13564,1.20605,0.94586,0.38908,0.41946,0.28113,1.7592,2.40266,1.53663,2.89861e-05,2.89861e-05,2.89861e-05
43,1084.03,0.83171,0.87749,1.09284,0.94529,0.39072,0.4197,0.28957,1.75144,2.42105,1.52834,2.91983e-05,2.91983e-05,2.91983e-05
44,1114.05,0.89707,1.27243,1.25024,0.94529,0.39072,0.4197,0.28957,1.75144,2.42105,1.52834,2.93869e-05,2.93869e-05,2.93869e-05
45,1141.62,0.67541,1.25256,1.17941,0.94545,0.39102,0.42038,0.28191,1.75238,2.37525,1.51521,2.9552e-05,2.9552e-05,2.9552e-05
46,1172.9,0.69808,0.92854,1.0311,0.94545,0.39102,0.42038,0.28191,1.75238,2.37525,1.51521,2.96935e-05,2.96935e-05,2.96935e-05
47,1197.61,0.6945,0.75608,1.01435,0.94734,0.39196,0.42106,0.28253,1.75398,2.352,1.51449,2.98114e-05,2.98114e-05,2.98114e-05
48,1221.85,0.7066,0.90069,1.15917,0.94734,0.39196,0.42106,0.28253,1.75398,2.352,1.51449,2.99058e-05,2.99058e-05,2.99058e-05
49,1247.27,0.85657,1.27265,1.28094,0.94888,0.39421,0.42137,0.31568,1.75468,2.31767,1.5024,2.99766e-05,2.99766e-05,2.99766e-05
50,1270.96,0.83484,1.52878,1.29139,0.94888,0.39421,0.42137,0.31568,1.75468,2.31767,1.5024,3.00238e-05,3.00238e-05,3.00238e-05
51,1295.67,0.69951,1.07996,1.13202,0.78251,0.39376,0.42113,0.3154,1.75665,2.36351,1.50077,3.00475e-05,3.00475e-05,3.00475e-05
52,1318.56,0.79737,1.90127,1.36236,0.78251,0.39376,0.42113,0.3154,1.75665,2.36351,1.50077,3.00476e-05,3.00476e-05,3.00476e-05
53,1342.34,0.96879,0.95528,1.36977,0.78251,0.39376,0.42113,0.3154,1.75665,2.36351,1.50077,3.00242e-05,3.00242e-05,3.00242e-05
54,1367.12,0.66856,0.84701,1.09832,0.95181,0.3957,0.42181,0.31619,1.74622,2.32547,1.47902,2.99772e-05,2.99772e-05,2.99772e-05
55,1390.95,0.62864,0.7059,1.08917,0.95181,0.3957,0.42181,0.31619,1.74622,2.32547,1.47902,2.99066e-05,2.99066e-05,2.99066e-05
56,1415.77,0.82866,0.96501,1.2949,0.95181,0.3957,0.42181,0.31619,1.74622,2.32547,1.47902,2.98125e-05,2.98125e-05,2.98125e-05
57,1439.72,0.70264,0.74043,1.12485,0.95338,0.39543,0.42169,0.31616,1.75706,2.34168,1.48566,2.96948e-05,2.96948e-05,2.96948e-05
58,1463.63,0.68402,0.89597,1.09206,0.95338,0.39543,0.42169,0.31616,1.75706,2.34168,1.48566,2.95535e-05,2.95535e-05,2.95535e-05
59,1487.88,0.67088,0.78592,1.07499,0.95338,0.39543,0.42169,0.31616,1.75706,2.34168,1.48566,2.93887e-05,2.93887e-05,2.93887e-05
60,1510.76,0.57273,0.92569,0.96144,0.95587,0.39385,0.42382,0.29176,1.77424,2.34531,1.49406,2.92003e-05,2.92003e-05,2.92003e-05
61,1534.87,0.67512,0.89475,1.16002,0.95587,0.39385,0.42382,0.29176,1.77424,2.34531,1.49406,2.89884e-05,2.89884e-05,2.89884e-05
62,1559.73,0.86006,0.88518,1.2298,0.95587,0.39385,0.42382,0.29176,1.77424,2.34531,1.49406,2.87529e-05,2.87529e-05,2.87529e-05
63,1584.3,0.83971,0.93658,1.26037,0.96073,0.3918,0.42285,0.29934,1.77884,2.34954,1.49294,2.84938e-05,2.84938e-05,2.84938e-05
64,1610.57,0.65317,1.11145,1.12558,0.96073,0.3918,0.42285,0.29934,1.77884,2.34954,1.49294,2.82112e-05,2.82112e-05,2.82112e-05
65,1635.87,0.52713,0.6399,1.07582,0.96073,0.3918,0.42285,0.29934,1.77884,2.34954,1.49294,2.7905e-05,2.7905e-05,2.7905e-05
66,1661.44,0.79834,1.14128,1.1074,0.96675,0.39295,0.42426,0.30161,1.77394,2.36414,1.48685,2.75753e-05,2.75753e-05,2.75753e-05
